title,pdf_url,page
Ngân hàng TMCP Sài Gòn Thương Tín - Đánh giá nhanh KQKD 4Q2025,https://kbsec.com.vn/pic/Service/KBSV_STB_FTM.pdf,1
CTCP Thế giới số - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_DGW_Baocaocapnhat_20251224.pdf,1
CTCP Dịch vụ Hàng hóa Sài Gòn - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_SCS_20251222.pdf,1
CTCP TCT Khí Việt Nam - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_GAS_20251219.pdf,1
CTCP Cao su Đà Nẵng - Báo cáo cơ hội đầu tư,https://kbsec.com.vn/pic/Service/KBSV_DRC_Baocaocohoidautu_251217.pdf,1
CTCP TCT Nước - Môi trường Bình Dương - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_BWE_20251217.pdf,1
CTCP Tập đoàn Masan - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_MSN_Baocaocapnhat_20251215.pdf,1
CTCP Đầu tư Sài Gòn VRG - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_SIP_20251216.pdf,1
CTCP Tập đoàn Hòa Phát - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_HPG_Baocaocapnhat_251215.pdf,1
TCT Cảng Hàng không Việt Nam - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_ACV_20251216.pdf,1
CTCP Nhựa Bình Minh - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_BMP_Baocaocapnhat_251215.pdf,2
Tập đoàn Cao su Việt Nam - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_GVR_20251515.pdf,2
CTCP Tập đoàn PC1 - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_PC1_20251211.pdf,2
CTCP Vàng bạc đá quý Phú Nhuận - Báo cáo cập nhật 3Q2025,https://kbsec.com.vn/pic/Service/KBSV_PNJ_Baocaocapnhat_20251211.pdf,2
